id,age,gender,education,pc_choice,pc_result,x,y,pc_choice_image,pc_choice_x,pc_choice_y,dist
5b4f1e9960e0c700010dd2f7,41.0,Male,High school graduate (includes equivalency),top left,square,350.9090909090909,143.63636363636363,https://hujipsych.au1.qualtrics.com/ControlPanel/Graphic.php?IM=IM_8latqR2dmR1KliB,136,125,215.71562624195462
56d8a5a04a9be1000a53ecd5,35.0,Male,Bachelor's degree,top left,circle,335.45454545454544,455.45454545454544,https://hujipsych.au1.qualtrics.com/ControlPanel/Graphic.php?IM=IM_8iTQENQKp4ofTOl,136,125,385.9822823835954
5b11413a30d562000155b605,36.0,Male,High school graduate (includes equivalency),bottom left,square,300.9090909090909,340.0,https://hujipsych.au1.qualtrics.com/ControlPanel/Graphic.php?IM=IM_b7NoRPBiEKUTCSx,182,405,135.51520911258055
6015ce45d4e20d72584594c3,31.0,Male,Bachelor's degree,right,circle,53.63636363636363,169.0909090909091,https://hujipsych.au1.qualtrics.com/ControlPanel/Graphic.php?IM=IM_9pn89UCXN7NgZa5,398,162,344.4366342904342
5e3056fa23a9e80286bbb370,39.0,Male,Bachelor's degree,bottom left,circle,288.1818181818182,210.9090909090909,https://hujipsych.au1.qualtrics.com/ControlPanel/Graphic.php?IM=IM_b7NoRPBiEKUTCSx,182,405,221.2371114983475
5cbdf7e839447e00017459f3,32.0,Male,Bachelor's degree,top left,square,151.8181818181818,123.63636363636363,https://hujipsych.au1.qualtrics.com/ControlPanel/Graphic.php?IM=IM_8iTQENQKp4ofTOl,136,125,15.876850448539505
5c879d4aeceaa40015d3f5c6,43.0,Female,Bachelor's degree,top left,circle,363.6363636363636,179.0909090909091,https://hujipsych.au1.qualtrics.com/ControlPanel/Graphic.php?IM=IM_8iTQENQKp4ofTOl,136,125,233.97465780692522
6091d4a2cc8467b8908fd1dc,33.0,Male,"Some college, no degree",bottom left,circle,290.0,208.1818181818182,https://hujipsych.au1.qualtrics.com/ControlPanel/Graphic.php?IM=IM_9GriGioJDRBy5Vj,182,405,224.50255387013948
5d4c217a97d8a600013b46cf,40.0,Male,Bachelor's degree,top left,square,151.8181818181818,124.54545454545455,https://hujipsych.au1.qualtrics.com/ControlPanel/Graphic.php?IM=IM_8iTQENQKp4ofTOl,136,125,15.824711296049152
5f7341e6fe08f4026d13c3ff,34.0,Male,"Some college, no degree",bottom left,circle,363.6363636363636,176.36363636363635,https://hujipsych.au1.qualtrics.com/ControlPanel/Graphic.php?IM=IM_9GriGioJDRBy5Vj,182,405,292.00403314320994
