id,age,gender,education,pc_choice,pc_result,x,y,pc_choice_image,bigl,gambling_expectancies,illusion_of_control,predictive_control,inability_to_stop_gambling,interpretive_bias,rational_ability,rational_engagement,experimental_ability,experimental_engagement,pc_choice_x,pc_choice_y,dist
5f3bde8753446595d28a870a,19,Male,"Some college, no degree",bottom left,square,92.72727272727272,386.3636363636364,https://hujipsych.au1.qualtrics.com/ControlPanel/Graphic.php?IM=IM_b7NoRPBiEKUTCSx,,,,,,,,,,,182,405,91.197225200647
5dc6e946b9d9044f7e6bf046,40,Male,High school graduate (includes equivalency),top left,circle,212.72727272727272,310.9090909090909,https://hujipsych.au1.qualtrics.com/ControlPanel/Graphic.php?IM=IM_8iTQENQKp4ofTOl,,,,,,,,,,,136,125,201.1200250169284
5c3f3f83d831ed0001f78d1c,33,Male,Bachelor's degree,bottom left,square,309.09090909090907,36.36363636363636,https://hujipsych.au1.qualtrics.com/ControlPanel/Graphic.php?IM=IM_b7NoRPBiEKUTCSx,,,,,,,,,,,182,405,389.9293112457629
5e3cb8b34a4f380aa4e72538,19,Male,"Some college, no degree",top left,triangle,420.9090909090909,205.45454545454544,https://hujipsych.au1.qualtrics.com/ControlPanel/Graphic.php?IM=IM_8latqR2dmR1KliB,,,,,,,,,,,136,125,296.050880706243
5f5b60fb218fc828303b3e4b,36,Male,Graduate or professional degree,right,circle,421.8181818181818,171.8181818181818,https://hujipsych.au1.qualtrics.com/ControlPanel/Graphic.php?IM=IM_aVrNwGFgrxpvt0F,,,,,,,,,,,398,162,25.762423786182126
5ed7a88c8d523524737f76c3,22,Male,Bachelor's degree,bottom left,circle,291.8181818181818,296.3636363636364,https://hujipsych.au1.qualtrics.com/ControlPanel/Graphic.php?IM=IM_b7NoRPBiEKUTCSx,,,,,,,,,,,182,405,154.47295090721698
5af9d543672ea800010d8e0f,26,Male,"Some college, no degree",bottom left,kite,363.6363636363636,175.45454545454544,https://hujipsych.au1.qualtrics.com/ControlPanel/Graphic.php?IM=IM_b7NoRPBiEKUTCSx,,,,,,,,,,,182,405,292.7163888434002
5f32baaabe9b7c02c66781e3,26,Female,High school graduate (includes equivalency),bottom left,kite,203.63636363636363,338.1818181818182,https://hujipsych.au1.qualtrics.com/ControlPanel/Graphic.php?IM=IM_9GriGioJDRBy5Vj,,,,,,,,,,,182,405,70.23390671814121
5eb9b011e926960deb4d6d91,23,Male,Bachelor's degree,top left,square,359.09090909090907,280.0,https://hujipsych.au1.qualtrics.com/ControlPanel/Graphic.php?IM=IM_8iTQENQKp4ofTOl,,,,,,,,,,,136,125,271.65152994048873
57160a57cd6ea20011dae249,31,Male,Bachelor's degree,right,kite,240.0,334.54545454545456,https://hujipsych.au1.qualtrics.com/ControlPanel/Graphic.php?IM=IM_9pn89UCXN7NgZa5,,,,,,,,,,,398,162,233.95711975551743
595b93cde11c9d0001522564,41,Male,"Some college, no degree",bottom left,kite,287.27272727272725,136.36363636363635,https://hujipsych.au1.qualtrics.com/ControlPanel/Graphic.php?IM=IM_9GriGioJDRBy5Vj,,,,,,,,,,,182,405,288.5270229548813
5f8582c8d8847b02bda2b1f3,34,Male,High school graduate (includes equivalency),bottom left,kite,193.63636363636363,382.7272727272727,https://hujipsych.au1.qualtrics.com/ControlPanel/Graphic.php?IM=IM_b7NoRPBiEKUTCSx,,,,,,,,,,,182,405,25.129252651899073
5af5e288e19f8c00019e3d09,29,Female,Bachelor's degree,right,square,159.0909090909091,369.09090909090907,https://hujipsych.au1.qualtrics.com/ControlPanel/Graphic.php?IM=IM_aVrNwGFgrxpvt0F,,,,,,,,,,,398,162,316.17115356576636
5e2c9026f4a3052be159c494,29,Male,High school graduate (includes equivalency),top left,circle,291.8181818181818,296.3636363636364,https://hujipsych.au1.qualtrics.com/ControlPanel/Graphic.php?IM=IM_8latqR2dmR1KliB,,,,,,,,,,,136,125,231.6134746790276
5f85f0cab3f4e20ebf578203,29,Male,Bachelor's degree,top left,kite,179.0909090909091,100.0,https://hujipsych.au1.qualtrics.com/ControlPanel/Graphic.php?IM=IM_8iTQENQKp4ofTOl,,,,,,,,,,,136,125,49.81793297880786
5def01c28def535b96fa6133,27,Male,Bachelor's degree,top left,triangle,326.3636363636364,289.09090909090907,https://hujipsych.au1.qualtrics.com/ControlPanel/Graphic.php?IM=IM_8latqR2dmR1KliB,,,,,,,,,,,136,125,251.3247709555661
5f4ba7007200c9762cc4c708,36,Male,Bachelor's degree,right,triangle,291.8181818181818,181.8181818181818,https://hujipsych.au1.qualtrics.com/ControlPanel/Graphic.php?IM=IM_aVrNwGFgrxpvt0F,,,,,,,,,,,398,162,108.01545650033243
5c17c149f596b100011ca8b8,33,Female,Bachelor's degree,right,kite,420.0,171.8181818181818,https://hujipsych.au1.qualtrics.com/ControlPanel/Graphic.php?IM=IM_aVrNwGFgrxpvt0F,,,,,,,,,,,398,162,24.091423665173377
5f4d4f3a2059689f1a2c33db,22,Male,Bachelor's degree,right,circle,346.3636363636364,100.0,https://hujipsych.au1.qualtrics.com/ControlPanel/Graphic.php?IM=IM_9pn89UCXN7NgZa5,,,,,,,,,,,398,162,80.68651714869577
5f3d6f7010ad88124f3906e2,23,Male,"Some college, no degree",top left,triangle,157.27272727272728,215.45454545454544,https://hujipsych.au1.qualtrics.com/ControlPanel/Graphic.php?IM=IM_8iTQENQKp4ofTOl,,,,,,,,,,,136,125,92.92229936354492
