id,age,gender,education,pc_choice,pc_result,x,y,pc_choice_image,bigl,gambling_expectancies,illusion_of_control,predictive_control,inability_to_stop_gambling,interpretive_bias,rational_ability,rational_engagement,experimental_ability,experimental_engagement,pc_choice_x,pc_choice_y,dist
591cbb59b8ea4b00012ccdf8,34,Female,Bachelor's degree,bottom left,5.0,159.0,364.0,https://hujipsych.au1.qualtrics.com/ControlPanel/Graphic.php?IM=IM_9GriGioJDRBy5Vj,16.0,4.0,4.0,7.0,5.0,4.0,22.0,30.0,29.0,30.0,182,405,47.01063709417264
5d62e141756469001948081a,19,Female,High school graduate (includes equivalency),right,0.0,204.0,181.0,https://hujipsych.au1.qualtrics.com/ControlPanel/Graphic.php?IM=IM_9pn89UCXN7NgZa5,42.0,5.0,4.0,16.0,5.0,11.0,27.0,36.0,28.0,28.0,398,162,194.92819190666086
5d547cb99b7c4e0016886fdb,22,Female,Bachelor's degree,top left,1.0,345.0,166.0,https://hujipsych.au1.qualtrics.com/ControlPanel/Graphic.php?IM=IM_8iTQENQKp4ofTOl,19.0,4.0,7.0,6.0,5.0,4.0,20.0,22.0,29.0,30.0,136,125,212.98356744124652
5f49cd1c16ed921e465b7573,18,Female,High school graduate (includes equivalency),bottom left,5.0,359.0,279.0,https://hujipsych.au1.qualtrics.com/ControlPanel/Graphic.php?IM=IM_b7NoRPBiEKUTCSx,33.0,7.0,9.0,19.0,6.0,9.0,23.0,28.0,27.0,28.0,182,405,217.26711670199887
5f550e4d536ecb8a300d4cf0,25,Female,Bachelor's degree,bottom left,5.0,350.0,140.0,https://hujipsych.au1.qualtrics.com/ControlPanel/Graphic.php?IM=IM_b7NoRPBiEKUTCSx,,,,,,,,,,,182,405,313.765836253726
5d514a73f20feb00160b5e0e,31,Male,Bachelor's degree,right,0.0,287.0,208.0,https://hujipsych.au1.qualtrics.com/ControlPanel/Graphic.php?IM=IM_aVrNwGFgrxpvt0F,25.0,5.0,5.0,17.0,5.0,5.0,20.0,25.0,27.0,33.0,398,162,120.15406776301833
5f6dfe26652f2b2ca1682146,28,Male,"Some college, no degree",bottom left,0.0,420.0,204.0,https://hujipsych.au1.qualtrics.com/ControlPanel/Graphic.php?IM=IM_9GriGioJDRBy5Vj,23.0,7.0,4.0,8.0,5.0,7.0,25.0,26.0,30.0,29.0,182,405,311.52046481732145
5d7cde38777f45001655d46c,45,Female,High school graduate (includes equivalency),top left,0.0,289.0,136.0,https://hujipsych.au1.qualtrics.com/ControlPanel/Graphic.php?IM=IM_8iTQENQKp4ofTOl,24.0,9.0,9.0,15.0,5.0,10.0,27.0,24.0,31.0,32.0,136,125,153.39491516996253
5f170e53af79bd0008c88713,19,Female,High school graduate (includes equivalency),right,1.0,261.0,265.0,https://hujipsych.au1.qualtrics.com/ControlPanel/Graphic.php?IM=IM_9pn89UCXN7NgZa5,12.0,4.0,4.0,6.0,5.0,4.0,33.0,22.0,28.0,32.0,398,162,171.40011668607463
559a75fbfdf99b76b2483afb,36,Female,Graduate or professional degree,bottom left,5.0,372.0,138.0,https://hujipsych.au1.qualtrics.com/ControlPanel/Graphic.php?IM=IM_b7NoRPBiEKUTCSx,30.0,5.0,4.0,7.0,5.0,6.0,26.0,31.0,27.0,29.0,182,405,327.70260908329675
5f45256270104709326199ed,21,Male,Bachelor's degree,top left,5.0,265.0,210.0,https://hujipsych.au1.qualtrics.com/ControlPanel/Graphic.php?IM=IM_8latqR2dmR1KliB,36.0,10.0,4.0,9.0,9.0,7.0,25.0,27.0,30.0,29.0,136,125,154.48624534242524
5ec81f67a964d72d98c526f7,26,Male,Graduate or professional degree,bottom left,1.0,310.0,250.0,https://hujipsych.au1.qualtrics.com/ControlPanel/Graphic.php?IM=IM_9GriGioJDRBy5Vj,31.0,6.0,8.0,15.0,5.0,8.0,26.0,22.0,29.0,30.0,182,405,201.0198995124612
5c9cc2f7f8c3ec00018ba185,20,Male,High school graduate (includes equivalency),bottom left,5.0,286.0,209.0,https://hujipsych.au1.qualtrics.com/ControlPanel/Graphic.php?IM=IM_b7NoRPBiEKUTCSx,29.0,8.0,9.0,17.0,11.0,9.0,31.0,37.0,25.0,38.0,182,405,221.8828519737386
5eb15443fff7a62385f1560f,28,Female,Bachelor's degree,bottom left,5.0,58.0,341.0,https://hujipsych.au1.qualtrics.com/ControlPanel/Graphic.php?IM=IM_b7NoRPBiEKUTCSx,23.0,4.0,7.0,14.0,5.0,5.0,22.0,27.0,33.0,28.0,182,405,139.54210834009928
55ae65e9fdf99b44a305f17d,27,Male,Associate degree,right,5.0,208.0,211.0,https://hujipsych.au1.qualtrics.com/ControlPanel/Graphic.php?IM=IM_9pn89UCXN7NgZa5,34.0,15.0,19.0,26.0,19.0,16.0,29.0,31.0,31.0,35.0,398,162,196.21671692289624
59bc25620ac77f0001f05574,30,Female,Bachelor's degree,right,0.0,176.0,346.0,https://hujipsych.au1.qualtrics.com/ControlPanel/Graphic.php?IM=IM_9pn89UCXN7NgZa5,,,,,,,,,,,398,162,288.3400769924292
5b65e0dad458c00001e52a8f,39,Male,Bachelor's degree,bottom left,0.0,227.0,82.0,https://hujipsych.au1.qualtrics.com/ControlPanel/Graphic.php?IM=IM_b7NoRPBiEKUTCSx,25.0,8.0,7.0,13.0,8.0,9.0,24.0,28.0,28.0,29.0,182,405,326.11960995929087
5f5e3a4eff319a0b50ce6631,22,Male,"Some college, no degree",bottom left,5.0,247.0,71.0,https://hujipsych.au1.qualtrics.com/ControlPanel/Graphic.php?IM=IM_b7NoRPBiEKUTCSx,27.0,4.0,4.0,6.0,5.0,5.0,19.0,20.0,32.0,30.0,182,405,340.2660723610275
5dcd8924bab2ec056fb73b82,19,Female,High school graduate (includes equivalency),right,1.0,209.0,253.0,https://hujipsych.au1.qualtrics.com/ControlPanel/Graphic.php?IM=IM_9pn89UCXN7NgZa5,,,,,,,,,,,398,162,209.76653689280377
5ed77c4e1d16bd20a8b1a4ed,30,Male,Graduate or professional degree,bottom left,0.0,259.0,304.0,https://hujipsych.au1.qualtrics.com/ControlPanel/Graphic.php?IM=IM_b7NoRPBiEKUTCSx,29.0,4.0,4.0,7.0,5.0,4.0,24.0,26.0,29.0,29.0,182,405,127.00393694685216
5cec228c539ced0018fbb758,28,Female,"Some college, no degree",right,1.0,351.0,142.0,https://hujipsych.au1.qualtrics.com/ControlPanel/Graphic.php?IM=IM_9pn89UCXN7NgZa5,12.0,5.0,4.0,15.0,5.0,5.0,33.0,30.0,31.0,30.0,398,162,51.07837115648854
5e0791aaf87bca10992b82b2,24,Female,Bachelor's degree,top left,1.0,334.0,305.0,https://hujipsych.au1.qualtrics.com/ControlPanel/Graphic.php?IM=IM_8latqR2dmR1KliB,,,,,,,,,,,136,125,267.5892374517331
5f4fd077f3459e0e4f834854,21,Female,High school graduate (includes equivalency),right,1.0,141.0,344.0,https://hujipsych.au1.qualtrics.com/ControlPanel/Graphic.php?IM=IM_aVrNwGFgrxpvt0F,35.0,16.0,7.0,14.0,5.0,5.0,33.0,29.0,24.0,34.0,398,162,314.91744950065885
5f259a37b31f0a24d246592c,18,Male,High school graduate (includes equivalency),right,1.0,267.0,211.0,https://hujipsych.au1.qualtrics.com/ControlPanel/Graphic.php?IM=IM_aVrNwGFgrxpvt0F,18.0,14.0,12.0,17.0,15.0,12.0,28.0,29.0,30.0,27.0,398,162,139.86421987055874
5f242b33538ae600082e9968,22,Male,Bachelor's degree,bottom left,5.0,71.0,305.0,https://hujipsych.au1.qualtrics.com/ControlPanel/Graphic.php?IM=IM_b7NoRPBiEKUTCSx,19.0,4.0,4.0,6.0,5.0,4.0,29.0,32.0,30.0,31.0,182,405,149.40214188558343
5c26966c63e1d80001037d89,45,Female,Bachelor's degree,top left,0.0,399.0,96.0,https://hujipsych.au1.qualtrics.com/ControlPanel/Graphic.php?IM=IM_8latqR2dmR1KliB,16.0,7.0,4.0,9.0,5.0,4.0,22.0,26.0,30.0,27.0,136,125,264.59402865522117
5ea027abeeea79038d904447,32,Male,Graduate or professional degree,bottom left,0.0,242.0,131.0,https://hujipsych.au1.qualtrics.com/ControlPanel/Graphic.php?IM=IM_9GriGioJDRBy5Vj,24.0,9.0,10.0,24.0,5.0,11.0,27.0,23.0,32.0,27.0,182,405,280.49242414011826
5b69db5bd91aa600015841e4,36,Male,"Some college, no degree",top left,1.0,261.0,266.0,https://hujipsych.au1.qualtrics.com/ControlPanel/Graphic.php?IM=IM_8latqR2dmR1KliB,29.0,4.0,4.0,7.0,5.0,5.0,22.0,24.0,30.0,30.0,136,125,188.43035848822237
5e26285cbb31cc8845606403,20,Female,"Some college, no degree",top left,0.0,344.0,167.0,https://hujipsych.au1.qualtrics.com/ControlPanel/Graphic.php?IM=IM_8latqR2dmR1KliB,26.0,7.0,10.0,13.0,7.0,9.0,33.0,32.0,28.0,25.0,136,125,212.19802072592478
5cead2ed1f13ef0015c2913d,25,Female,Bachelor's degree,top left,1.0,287.0,210.0,https://hujipsych.au1.qualtrics.com/ControlPanel/Graphic.php?IM=IM_8iTQENQKp4ofTOl,25.0,13.0,14.0,18.0,19.0,16.0,24.0,25.0,29.0,26.0,136,125,173.28012003689287
5ead4a2f13f83a3cf7f69d13,19,Male,"Some college, no degree",bottom left,1.0,116.0,98.0,https://hujipsych.au1.qualtrics.com/ControlPanel/Graphic.php?IM=IM_b7NoRPBiEKUTCSx,30.0,10.0,8.0,14.0,10.0,10.0,26.0,27.0,26.0,30.0,182,405,314.0143308831621
5e8671a034d5d92976f5d6f9,34,Female,Graduate or professional degree,right,1.0,326.0,214.0,https://hujipsych.au1.qualtrics.com/ControlPanel/Graphic.php?IM=IM_9pn89UCXN7NgZa5,,,,,,,,,,,398,162,88.81441324469807
5efbb75dc7a625169185e94f,19,Female,High school graduate (includes equivalency),bottom left,5.0,138.0,288.0,https://hujipsych.au1.qualtrics.com/ControlPanel/Graphic.php?IM=IM_9GriGioJDRBy5Vj,8.0,4.0,9.0,6.0,5.0,4.0,24.0,28.0,28.0,31.0,182,405,125.0
5eb039cfacf4dd0b3fcbaee7,24,Male,Graduate or professional degree,right,0.0,261.0,263.0,https://hujipsych.au1.qualtrics.com/ControlPanel/Graphic.php?IM=IM_aVrNwGFgrxpvt0F,17.0,13.0,4.0,20.0,11.0,20.0,25.0,26.0,35.0,29.0,398,162,170.20575783445165
5f515794e247cd38c653e4ac,18,Male,"Some college, no degree",bottom left,1.0,375.0,333.0,https://hujipsych.au1.qualtrics.com/ControlPanel/Graphic.php?IM=IM_9GriGioJDRBy5Vj,27.0,16.0,10.0,19.0,8.0,13.0,23.0,29.0,29.0,32.0,182,405,205.9927183179056
